article_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7
549,Y,Y,Y,N,N,Y,N
30,Y,Y,Y,Y,Y,N,Y
253,Y,N,Y,N,Y,Y,N
385,Y,Y,N,Y,Y,N,Y
402,Y,Y,N,Y,Y,N,Y
415,Y,Y,N,N,Y,N,Y
477,Y,Y,Y,Y,Y,N,Y
885,Y,Y,N,N,Y,N,Y
891,Y,N,Y,Y,Y,N,Y
908,Y,N,Y,N,Y,Y,Y
940,Y,Y,Y,Y,Y,Y,Y
590,Y,Y,Y,Y,Y,N,Y
676,Y,Y,Y,Y,Y,N,Y
708,Y,N,Y,Y,Y,N,Y
866,Y,Y,Y,N,Y,N,N
871,Y,Y,Y,N,Y,N,Y
898,Y,N,Y,Y,Y,Y,Y
901,Y,Y,Y,Y,Y,Y,Y
911,Y,Y,Y,N,Y,Y,N
913,Y,Y,Y,Y,Y,N,Y
918,Y,Y,Y,N,Y,N,Y
919,Y,Y,N,N,Y,N,N
924,Y,Y,Y,Y,Y,N,Y
948,Y,Y,Y,Y,Y,N,Y
970,Y,Y,N,Y,Y,N,Y
984,Y,Y,Y,Y,Y,N,Y
564,Y,N,Y,N,Y,Y,N
685,Y,Y,Y,Y,Y,N,Y
769,Y,Y,N,Y,Y,N,Y
916,Y,Y,N,Y,Y,N,Y
917,Y,Y,N,N,Y,N,Y
921,Y,N,Y,Y,Y,N,Y
941,Y,Y,N,N,Y,Y,Y
952,Y,Y,Y,N,Y,N,Y
985,Y,Y,N,Y,Y,N,N
528,Y,Y,Y,N,Y,N,Y
591,Y,Y,Y,Y,Y,Y,Y
593,Y,Y,N,Y,Y,N,Y
627,Y,Y,Y,N,Y,N,Y
686,Y,Y,Y,Y,Y,N,Y
722,Y,N,Y,N,Y,N,Y
786,N,Y,N,N,Y,Y,Y
852,Y,Y,Y,N,Y,N,Y
853,Y,Y,N,N,Y,N,Y
862,Y,Y,N,Y,Y,N,Y
864,Y,Y,N,N,Y,Y,N
865,Y,Y,N,N,Y,Y,Y
870,Y,Y,N,Y,Y,N,Y
873,Y,N,N,N,Y,N,Y
875,Y,N,Y,Y,Y,N,Y
883,Y,Y,Y,N,Y,N,Y
887,Y,Y,N,N,Y,N,Y
888,Y,N,Y,Y,Y,N,Y
892,Y,Y,Y,Y,Y,N,Y
897,Y,Y,Y,Y,Y,N,Y
900,Y,Y,Y,Y,Y,N,Y
902,Y,Y,N,N,Y,N,Y
907,Y,Y,Y,N,N,Y,N
910,Y,Y,N,N,Y,N,Y
912,Y,Y,Y,Y,Y,N,Y
915,Y,Y,N,N,Y,Y,Y
922,Y,Y,Y,N,Y,N,Y
925,Y,Y,Y,Y,Y,Y,Y
934,Y,Y,N,N,Y,Y,Y
935,Y,Y,Y,Y,Y,N,Y
936,Y,Y,N,N,Y,N,Y
937,Y,Y,Y,N,Y,N,Y
938,Y,Y,Y,Y,Y,N,Y
942,Y,Y,N,Y,Y,N,Y
950,Y,Y,N,N,Y,N,Y
953,Y,Y,Y,Y,Y,N,Y
954,Y,Y,N,N,Y,N,Y
956,Y,Y,N,N,Y,N,Y
960,Y,Y,Y,Y,Y,N,Y
962,Y,Y,Y,N,Y,N,Y
963,Y,Y,N,N,Y,N,Y
967,Y,Y,N,Y,Y,N,Y
974,Y,Y,N,N,Y,N,Y
975,Y,Y,Y,N,Y,N,Y
977,Y,Y,Y,N,Y,N,Y
979,Y,Y,Y,Y,Y,N,Y
982,Y,Y,N,N,Y,Y,Y
1003,Y,Y,Y,N,Y,N,Y
1014,N,Y,N,N,Y,N,Y
3282,Y,Y,N,Y,Y,N,Y
273,Y,Y,Y,N,Y,N,Y
536,N,Y,N,N,N,N,N
541,Y,Y,Y,N,Y,N,Y
657,Y,Y,N,N,Y,N,Y
683,Y,Y,Y,N,Y,N,Y
688,Y,Y,N,N,Y,N,Y
694,Y,Y,Y,N,Y,N,Y
700,Y,N,N,N,Y,N,Y
706,Y,Y,N,N,Y,N,Y
729,Y,Y,N,Y,Y,N,Y
764,Y,Y,N,Y,Y,N,Y
795,Y,Y,N,Y,Y,N,Y
858,Y,Y,N,N,Y,N,Y
863,Y,Y,Y,N,Y,N,Y
869,Y,N,N,N,Y,N,Y
872,Y,Y,N,Y,Y,N,Y
874,Y,Y,N,N,Y,N,Y
877,Y,Y,N,N,Y,N,Y
878,Y,Y,N,N,Y,N,Y
879,Y,N,N,N,Y,N,Y
880,Y,Y,Y,N,Y,N,Y
884,Y,Y,N,N,Y,N,Y
886,Y,N,N,N,Y,N,Y
893,Y,Y,N,N,Y,N,Y
895,Y,Y,N,N,Y,N,Y
896,Y,Y,N,N,Y,N,Y
905,Y,Y,N,Y,Y,N,Y
914,Y,Y,N,Y,Y,N,Y
920,Y,Y,N,N,Y,N,Y
923,Y,Y,N,N,Y,Y,Y
927,Y,Y,N,N,Y,N,Y
928,Y,Y,N,Y,Y,N,Y
929,Y,Y,N,N,Y,N,Y
930,Y,Y,N,N,Y,N,Y
932,Y,Y,N,Y,Y,N,Y
943,Y,Y,N,N,Y,N,Y
946,Y,Y,N,N,Y,N,Y
947,Y,Y,N,N,Y,N,Y
949,Y,Y,N,Y,Y,Y,Y
951,Y,Y,N,N,Y,N,Y
958,Y,Y,N,N,Y,N,Y
959,Y,Y,N,N,Y,N,Y
964,Y,Y,N,N,Y,N,Y
966,Y,Y,N,N,Y,N,Y
990,Y,Y,N,N,Y,N,Y
994,Y,Y,N,Y,Y,N,Y
1004,Y,Y,Y,N,Y,N,Y
3137,Y,N,N,N,Y,N,Y
3221,Y,N,Y,N,Y,N,Y
3246,Y,Y,N,N,Y,N,Y
248,Y,Y,N,N,Y,N,Y
482,Y,Y,N,Y,Y,N,Y
513,Y,Y,N,N,Y,N,Y
540,Y,Y,N,N,Y,N,Y
552,Y,Y,N,N,Y,N,Y
561,Y,Y,Y,N,Y,N,Y
576,Y,Y,Y,N,Y,N,Y
585,Y,Y,N,N,Y,N,Y
612,Y,Y,N,N,Y,N,Y
634,Y,Y,Y,Y,Y,N,Y
637,Y,Y,N,N,Y,N,Y
652,N,Y,Y,N,Y,N,Y
653,Y,Y,N,N,Y,N,Y
658,Y,Y,Y,N,Y,N,Y
660,Y,Y,N,N,Y,N,Y
678,Y,Y,N,N,Y,N,Y
687,Y,Y,Y,N,Y,N,Y
713,Y,Y,N,N,Y,Y,Y
777,Y,Y,Y,N,Y,N,Y
797,Y,Y,Y,N,Y,Y,Y
814,Y,Y,Y,N,Y,N,Y
840,Y,Y,Y,N,Y,N,Y
859,Y,Y,N,N,Y,N,Y
867,Y,Y,N,N,Y,N,Y
881,Y,Y,N,N,Y,N,Y
882,Y,Y,Y,N,Y,N,Y
894,Y,Y,N,N,Y,N,Y
899,Y,N,N,N,Y,N,Y
904,Y,Y,N,Y,Y,N,Y
906,Y,Y,N,Y,Y,N,Y
926,Y,Y,N,N,Y,N,Y
931,Y,Y,N,N,Y,N,Y
933,Y,Y,N,N,Y,N,Y
939,Y,Y,N,N,Y,N,Y
957,Y,Y,N,N,Y,N,Y
965,Y,Y,Y,N,Y,N,Y
968,Y,Y,N,N,Y,N,Y
983,Y,Y,N,N,Y,N,Y
989,Y,Y,N,N,Y,N,Y
991,Y,Y,Y,N,Y,N,Y
992,Y,Y,N,N,Y,N,Y
996,Y,Y,N,N,Y,N,Y
997,Y,Y,N,Y,Y,N,Y
1000,Y,Y,N,N,Y,N,Y
1002,Y,Y,N,N,Y,Y,Y
1005,Y,Y,Y,N,Y,Y,Y
1007,Y,Y,Y,N,Y,N,Y
1009,Y,Y,N,N,Y,N,Y
1011,Y,Y,N,N,Y,N,Y
3260,Y,Y,N,N,Y,N,Y
206,Y,Y,N,N,Y,N,Y
240,Y,Y,N,N,Y,N,Y
258,N,Y,N,N,Y,Y,Y
